Device,Phase Reward,Recyclable Score,CO2 Emission Saved,Other Savings,CPU,Memory,Battery,Display,Keyboard,Plastics,Metals,Copper,Aluminum,Gold,Silver,Lead,Tin,Nickel,Zinc
Television,30.1,0,9.4,13.41,,,,23.0,,41,42.0,0.36,0.0,0.0,0.0,0.0,1.59,0.0,2.63
Refrigerator,61.89,0,2.88,13.32,,,,,,24,23.0,1.38,3.4,1.54,2.07,2.3,0.0,3.45,4.99
Smartwatch,74.39,0,9.25,0.27,45.0,44.0,16.0,26.0,,35,,4.34,0.0,3.53,0.76,3.37,2.51,1.75,0.0
Camera,69.73,0,5.2,8.44,,35.0,,32.0,,28,33.0,3.38,2.21,4.42,1.85,0.0,0.0,0.0,0.0
UPS,64.78,0,9.39,9.0,,,12.0,,,29,41.0,3.09,1.39,0.0,3.63,2.42,1.13,0.0,2.58
Scanner,35.38,0,5.83,10.5,,,,26.0,,14,35.0,1.2,2.41,1.72,0.0,3.47,3.1,0.41,2.38
Scanner,68.73,0,4.46,3.64,,,,26.0,,37,49.0,0.48,2.65,0.0,0.0,1.45,4.81,3.05,4.0
Set-top Box,56.24,0,6.97,9.16,39.0,27.0,,,,25,44.0,3.96,3.04,3.88,3.28,3.7,2.85,4.21,0.0
Television,81.58,1,9.73,5.66,,,,32.0,,49,14.0,0.0,3.26,0.21,3.4,0.0,3.58,4.6,1.84
Projector,24.73,0,5.0,2.84,,,,18.0,,46,21.0,2.03,1.59,0.0,0.77,2.13,0.3,0.5,0.0
UPS,29.0,0,5.85,2.67,,,33.0,,,36,13.0,0.0,3.79,1.33,0.0,3.84,1.74,2.37,3.09
Camera,66.94,1,1.35,13.77,,21.0,,25.0,,48,48.0,2.1,4.01,1.31,1.92,3.72,0.0,3.5,4.51
Refrigerator,66.43,1,6.94,0.33,,,,,,35,14.0,0.0,0.0,0.63,2.9,0.0,2.85,1.78,0.0
Server,62.41,1,0.26,1.47,21.0,41.0,,,,50,47.0,3.83,4.76,1.01,0.0,3.08,4.51,0.0,1.57
Mobile,50.37,1,6.3,10.05,28.0,33.0,39.0,21.0,,29,21.0,0.23,0.0,0.89,2.99,4.8,0.0,4.71,4.2
Tablet,84.02,1,7.38,7.21,34.0,10.0,22.0,29.0,,34,21.0,1.71,2.99,2.1,0.04,0.0,0.68,0.0,0.0
Router,49.79,0,6.82,6.19,18.0,32.0,,,,28,15.0,0.0,1.34,3.14,0.0,0.0,4.13,3.98,0.06
Laptop,33.6,0,8.88,13.6,27.0,46.0,48.0,40.0,33.0,46,25.0,0.0,1.71,1.99,1.72,0.0,0.0,0.0,0.97
Game Console,32.71,0,9.05,0.17,43.0,12.0,,25.0,,40,13.0,4.08,1.42,4.93,4.67,0.17,1.49,0.0,2.71
Television,70.32,0,1.2,7.0,,,,42.0,,32,43.0,0.87,0.41,0.0,1.79,3.41,2.38,1.22,2.99
UPS,43.98,0,2.43,8.83,,,10.0,,,20,16.0,2.96,0.0,0.0,1.0,2.43,0.15,0.0,0.44
Server,75.05,1,8.75,9.24,11.0,20.0,,,,32,50.0,2.95,1.93,0.0,0.0,0.0,4.64,4.96,0.17
Projector,31.02,0,2.23,1.09,,,,24.0,,24,45.0,3.35,4.41,2.41,0.0,1.29,0.18,4.46,0.0
Television,89.09,0,6.76,10.27,,,,17.0,,22,47.0,4.08,0.92,0.94,1.37,1.06,2.06,2.03,0.0
Game Console,68.21,0,0.22,11.39,30.0,50.0,,19.0,,15,23.0,0.98,0.0,0.0,2.84,0.62,0.0,0.0,0.0
Laptop,32.91,0,9.5,13.84,25.0,31.0,49.0,21.0,24.0,11,10.0,0.26,0.48,4.45,3.41,0.0,4.08,1.49,3.95
Set-top Box,49.96,1,7.15,4.68,37.0,47.0,,,,30,28.0,0.53,0.0,1.06,0.0,4.17,0.85,0.0,0.0
Refrigerator,75.58,1,9.27,1.05,,,,,,48,18.0,0.0,0.0,2.06,0.0,3.62,3.96,0.58,1.06
Hard Drive,62.37,0,2.6,5.45,,38.0,,,,16,47.0,4.98,3.74,2.6,4.04,1.69,0.94,3.92,3.98
Refrigerator,50.66,1,7.86,2.68,,,,,,17,37.0,4.93,0.0,0.0,0.0,0.0,1.1,1.98,4.06
Microwave,27.4,1,4.02,2.39,,,,,,18,45.0,2.17,3.19,0.0,2.84,2.24,4.21,3.12,4.76
Router,53.31,1,5.07,0.6,21.0,46.0,,,,15,18.0,0.0,2.91,2.27,3.81,0.68,0.35,0.09,0.05
Microwave,73.08,0,4.08,11.34,,,,,,38,25.0,0.0,0.0,3.64,3.21,3.39,2.94,1.16,0.0
Scanner,45.72,1,0.02,4.77,,,,50.0,,10,24.0,3.56,3.1,0.0,2.52,3.07,0.0,0.0,1.4
Coffee Machine,28.06,1,8.35,8.19,,,,,,32,41.0,0.0,1.35,1.15,0.0,3.17,0.0,3.87,0.0
Projector,89.47,1,6.13,12.39,,,,27.0,,26,11.0,0.0,0.0,0.08,4.81,3.52,2.23,4.42,4.68
Desktop,94.09,0,5.94,0.35,35.0,28.0,,,14.0,29,27.0,0.0,4.25,3.6,2.88,0.0,0.0,4.48,4.53
Server,73.41,1,4.97,14.83,45.0,35.0,,,,23,47.0,1.73,4.68,3.06,1.79,0.0,0.04,0.99,1.51
Server,79.07,1,2.38,3.06,40.0,23.0,,,,49,42.0,0.0,1.99,0.0,4.16,2.74,3.26,4.71,0.0
Washing Machine,85.02,1,2.84,1.53,,,,,,35,37.0,2.5,4.57,0.0,0.0,0.0,1.75,3.31,1.54
UPS,26.75,1,3.76,6.22,,,29.0,,,19,21.0,0.9,3.73,3.51,2.13,4.72,0.0,4.06,2.39
Monitor,81.85,1,9.44,4.52,,,,49.0,,39,11.0,2.07,2.45,1.78,2.18,2.13,0.0,2.99,0.0
Modem,60.44,1,0.25,5.7,18.0,39.0,,,,50,43.0,0.0,1.83,0.0,0.0,4.17,4.07,1.38,3.0
Router,67.98,1,5.21,9.38,41.0,42.0,,,,37,31.0,1.56,0.0,0.95,0.0,0.0,1.16,2.6,1.62
Washing Machine,26.09,1,7.51,8.72,,,,,,28,34.0,1.83,4.95,3.95,2.6,3.33,0.0,4.67,2.87
Coffee Machine,66.35,1,6.27,4.35,,,,,,46,25.0,0.65,1.01,0.0,0.0,0.0,3.1,0.15,2.06
Scanner,86.8,0,3.89,12.37,,,,42.0,,22,41.0,1.54,2.27,1.94,2.26,0.0,0.01,0.0,4.73
Hard Drive,51.57,1,8.47,4.92,,24.0,,,,42,31.0,0.0,1.13,1.25,0.0,0.0,0.0,0.0,4.2
Air Conditioner,30.06,0,9.01,5.72,,,,,,27,46.0,3.64,4.63,1.24,0.0,0.08,4.68,3.33,2.24
Hard Drive,37.57,0,6.4,10.51,,11.0,,,,21,38.0,3.56,0.0,4.36,4.11,0.0,0.97,0.0,0.0
Server,90.5,0,5.88,13.65,10.0,21.0,,,,19,27.0,0.0,0.0,0.0,2.43,0.0,3.29,3.79,1.21
Tablet,36.66,1,6.03,9.22,39.0,38.0,34.0,15.0,,20,40.0,2.24,3.41,0.84,4.39,2.92,4.71,4.08,2.48
Server,24.23,0,7.43,1.57,31.0,16.0,,,,15,50.0,0.0,2.59,0.0,0.0,2.48,3.97,2.96,3.67
Scanner,81.88,1,3.18,12.34,,,,28.0,,32,32.0,1.14,4.08,4.08,3.34,3.49,2.95,1.69,1.89
Set-top Box,52.33,0,7.55,9.68,31.0,34.0,,,,37,30.0,4.7,0.0,0.9,0.0,0.0,0.0,1.03,2.68
Router,60.92,0,8.68,2.41,36.0,31.0,,,,32,43.0,4.21,2.79,1.81,0.12,0.77,0.42,0.0,0.0
Router,57.38,1,5.32,12.45,37.0,22.0,,,,17,11.0,2.76,0.61,1.5,4.04,1.88,0.0,0.0,4.43
Mobile,59.61,0,0.32,3.25,33.0,11.0,45.0,31.0,,14,45.0,2.39,4.01,4.65,2.29,3.69,4.97,3.96,4.49
Printer,78.32,0,1.97,0.66,,48.0,,,29.0,12,28.0,0.0,1.63,0.0,0.0,0.0,0.0,2.31,3.2
Camera,84.01,1,3.09,14.01,,10.0,,48.0,,16,50.0,0.68,0.45,3.52,0.0,0.35,3.86,2.85,2.73
Air Conditioner,57.54,1,5.69,4.3,,,,,,48,41.0,0.0,1.33,2.4,0.0,4.38,2.07,0.0,0.0
Mobile,55.93,0,8.9,9.59,17.0,41.0,12.0,12.0,,48,47.0,0.0,1.76,1.83,4.5,2.16,2.97,2.45,1.18
Camera,53.84,0,1.2,9.39,,14.0,,30.0,,47,22.0,4.42,4.46,0.03,4.05,0.0,0.0,0.0,4.33
Other,33.37,0,2.5,1.64,,,,,,19,29.0,0.0,1.33,4.87,4.36,0.0,0.0,4.91,3.75
Smartwatch,51.85,0,9.3,5.19,32.0,41.0,36.0,27.0,,31,,0.0,1.71,0.0,0.0,3.34,2.59,0.0,1.15
Microwave,90.78,0,0.56,2.88,,,,,,24,22.0,1.26,0.29,0.0,0.07,0.45,0.0,0.0,3.76
Router,68.31,0,8.36,13.97,42.0,38.0,,,,33,10.0,0.0,4.7,2.59,3.08,0.51,3.69,0.0,0.93
Router,30.07,1,9.39,0.8,26.0,47.0,,,,33,33.0,0.0,2.23,3.6,0.0,3.45,0.0,1.92,4.63
Desktop,58.27,1,7.87,0.37,17.0,15.0,,,30.0,44,44.0,4.92,0.14,4.0,1.54,2.24,3.71,0.0,4.59
Washing Machine,61.3,0,5.49,1.36,,,,,,10,50.0,4.9,0.0,2.05,1.14,0.86,4.14,0.0,1.0
Television,33.37,1,4.77,0.53,,,,20.0,,47,17.0,0.0,0.64,3.22,1.26,1.45,1.16,2.1,0.28
Modem,22.4,0,3.52,0.83,21.0,39.0,,,,13,16.0,0.0,2.98,0.0,0.69,0.0,4.81,1.28,0.0
Printer,88.14,0,8.26,1.47,,47.0,,,22.0,46,21.0,4.58,2.78,0.0,1.19,0.0,4.7,1.08,2.75
Accessories,60.07,1,9.77,8.79,,,,,,27,21.0,0.45,4.92,4.4,3.65,3.62,0.0,2.42,0.0
Washing Machine,36.56,1,6.49,2.03,,,,,,32,11.0,2.24,3.78,0.0,3.07,1.76,2.44,0.0,0.84
Game Console,72.87,1,9.26,5.09,17.0,48.0,,35.0,,31,41.0,0.0,0.01,0.0,2.79,3.79,0.0,3.88,0.0
Hard Drive,92.5,1,5.58,11.16,,50.0,,,,30,10.0,0.17,3.06,1.76,4.85,3.0,1.97,3.47,0.0
Projector,29.55,0,1.17,12.82,,,,41.0,,33,36.0,3.43,0.68,1.57,0.0,2.44,0.0,1.28,1.07
Microwave,97.87,0,3.97,1.95,,,,,,18,42.0,1.57,0.0,0.0,0.02,1.57,0.76,2.71,0.86
Air Conditioner,55.29,0,5.3,5.81,,,,,,26,50.0,1.74,0.97,0.37,1.66,2.38,1.7,0.0,0.0
Smartwatch,38.54,0,3.45,1.54,32.0,11.0,24.0,34.0,,13,,0.0,4.93,0.01,0.0,0.32,3.86,0.0,1.69
Accessories,98.91,1,5.37,0.22,,,,,,16,38.0,0.47,4.96,3.68,3.9,0.0,4.09,2.12,3.23
Microwave,20.78,1,9.01,3.98,,,,,,31,46.0,1.47,0.0,3.81,0.91,0.0,4.41,2.44,0.47
Smartwatch,97.09,1,9.16,13.3,28.0,32.0,31.0,25.0,,12,,3.19,2.64,0.54,3.87,1.37,2.12,3.37,2.6
Other,87.9,0,8.35,13.7,,,,,,40,10.0,2.23,0.73,0.0,0.0,0.0,0.21,0.0,0.0
Washing Machine,31.92,1,7.6,7.3,,,,,,27,18.0,0.68,0.23,4.17,2.77,3.08,1.75,4.5,0.0
Tablet,49.39,1,4.44,10.17,32.0,24.0,37.0,39.0,,23,10.0,3.59,3.08,0.0,0.21,4.07,0.0,0.0,2.22
Modem,62.44,1,1.9,6.41,42.0,21.0,,,,45,29.0,1.19,1.79,0.0,3.68,1.38,3.19,0.0,1.43
Microwave,29.1,0,0.9,12.46,,,,,,11,13.0,4.33,0.37,2.7,3.45,0.0,0.0,4.02,0.0
Refrigerator,53.16,1,8.24,10.27,,,,,,17,49.0,3.06,0.0,2.72,0.56,4.66,4.69,0.0,0.0
Tablet,70.7,1,4.9,5.75,30.0,11.0,28.0,33.0,,17,26.0,0.84,4.01,1.84,0.58,4.41,0.49,0.98,3.13
Set-top Box,22.37,1,2.58,2.29,16.0,30.0,,,,36,39.0,4.38,1.23,1.62,2.74,0.08,2.98,2.98,0.0
Tablet,92.04,1,9.91,6.8,46.0,12.0,36.0,23.0,,15,12.0,0.0,0.12,4.43,4.53,2.0,1.3,0.47,0.0
Washing Machine,90.16,1,6.21,2.0,,,,,,44,19.0,4.38,1.17,2.53,4.83,1.6,4.19,0.99,0.0
Television,62.75,0,9.1,2.55,,,,46.0,,34,41.0,4.41,4.18,1.05,0.0,3.22,3.85,1.19,3.72
Washing Machine,89.39,0,5.35,13.68,,,,,,29,21.0,3.83,3.36,0.42,0.0,1.32,0.0,4.16,1.08
Projector,43.25,1,6.83,5.49,,,,49.0,,29,40.0,0.6,3.5,0.0,0.0,1.31,0.67,2.97,1.13
Laptop,52.68,1,3.75,8.81,44.0,45.0,30.0,11.0,30.0,43,34.0,1.24,3.34,4.68,0.36,0.0,0.0,3.57,0.11
Mobile,75.4,1,7.36,9.69,20.0,32.0,48.0,37.0,,48,10.0,2.9,3.62,1.89,0.95,4.27,2.92,1.12,0.0
Game Console,58.34,0,5.65,11.22,39.0,43.0,,18.0,,42,26.0,0.0,3.33,0.13,0.0,1.75,1.91,0.0,0.34
Refrigerator,82.19,0,4.41,3.9,,,,,,41,46.0,0.0,2.58,0.0,0.72,1.21,1.72,0.32,4.86
Accessories,76.75,1,1.28,9.66,,,,,,20,29.0,3.03,4.9,0.51,3.93,1.44,0.0,0.25,0.0
Air Conditioner,66.92,1,6.2,12.31,,,,,,11,49.0,4.61,4.02,0.57,1.7,1.06,0.8,4.88,1.16
Washing Machine,43.21,0,7.41,1.25,,,,,,10,41.0,4.23,1.5,1.14,0.87,0.0,0.0,3.94,1.34
Other,73.21,0,3.41,9.66,,,,,,46,35.0,0.0,4.29,0.0,3.08,4.56,3.54,0.0,0.53
Television,24.17,1,9.6,6.92,,,,24.0,,30,42.0,0.0,4.54,4.25,2.51,4.18,0.0,0.0,0.0
Fax Machine,43.34,0,5.53,14.56,,,,16.0,36.0,25,46.0,0.77,0.0,0.0,0.0,2.97,1.53,2.54,0.1
Television,98.96,0,6.07,6.8,,,,14.0,,19,13.0,1.71,4.4,2.15,3.7,0.85,2.16,0.77,3.08
UPS,63.42,0,9.82,5.15,,,46.0,,,35,41.0,0.0,0.0,2.59,0.54,0.0,1.47,1.85,4.0
Other,23.77,0,8.31,11.98,,,,,,20,10.0,0.0,2.6,1.71,3.56,0.0,0.0,0.0,0.0
Air Conditioner,44.77,1,8.94,14.44,,,,,,42,45.0,0.0,0.0,4.11,0.0,4.14,4.08,0.0,3.99
Washing Machine,93.44,0,8.3,0.82,,,,,,33,12.0,0.0,3.54,1.7,0.0,3.59,1.88,4.08,0.0
Projector,92.53,1,8.35,10.67,,,,50.0,,40,23.0,0.0,3.94,0.11,0.47,0.0,0.0,3.0,1.81
Fax Machine,98.58,0,5.36,0.06,,,,37.0,45.0,31,30.0,0.8,0.0,0.0,2.22,3.41,1.05,0.23,0.0
Router,70.14,1,2.2,5.65,47.0,33.0,,,,48,22.0,0.0,0.95,1.34,4.13,0.0,1.41,4.72,1.58
Tablet,59.79,1,6.3,13.28,24.0,47.0,22.0,25.0,,28,45.0,0.0,0.0,4.37,3.37,0.0,0.06,3.52,3.46
Modem,31.0,0,1.8,4.28,43.0,50.0,,,,14,10.0,0.44,0.0,3.62,0.0,0.34,0.83,3.25,3.54
Tablet,34.26,0,1.24,13.93,21.0,43.0,43.0,17.0,,11,39.0,2.77,0.0,2.82,2.06,0.0,3.97,0.0,0.78
Washing Machine,99.64,0,5.7,3.07,,,,,,20,38.0,2.57,3.24,4.67,2.63,0.0,0.93,2.9,3.19
Modem,53.64,1,6.13,6.77,23.0,43.0,,,,23,31.0,0.84,4.74,4.05,2.45,0.0,0.47,0.72,0.79
Monitor,49.55,1,3.17,11.13,,,,18.0,,14,43.0,1.23,4.44,0.0,0.0,2.08,2.97,0.53,2.12
UPS,51.5,1,6.39,2.63,,,42.0,,,33,27.0,3.24,4.38,1.72,3.43,3.91,0.0,0.27,0.0
Server,92.48,1,1.0,12.06,32.0,25.0,,,,20,28.0,4.87,0.0,1.58,2.58,4.59,0.0,0.0,0.71
Game Console,59.39,1,6.28,9.08,43.0,25.0,,44.0,,16,40.0,0.0,3.93,3.44,0.0,1.05,0.0,0.0,2.16
Television,30.54,1,7.52,2.56,,,,17.0,,35,46.0,4.73,0.0,0.29,3.47,0.62,0.77,0.0,0.0
Camera,40.24,1,1.75,13.74,,10.0,,37.0,,33,37.0,2.8,0.0,0.0,0.0,1.91,4.51,3.08,0.0
Printer,85.67,1,9.34,10.79,,11.0,,,29.0,13,22.0,3.17,2.32,4.8,0.18,0.0,4.32,4.75,0.2
Printer,23.46,1,4.99,8.27,,21.0,,,13.0,10,46.0,4.33,0.0,1.16,1.22,0.0,3.56,1.21,0.0
Microwave,45.52,1,4.77,14.95,,,,,,45,39.0,3.8,0.05,4.72,4.25,2.1,4.99,1.97,0.0
Tablet,98.05,0,5.28,12.32,19.0,27.0,14.0,15.0,,35,23.0,2.86,1.19,4.2,0.0,2.8,0.0,0.15,4.48
Air Conditioner,22.77,1,0.45,12.93,,,,,,24,41.0,0.0,3.94,3.77,3.14,0.0,4.57,4.93,0.0
Air Conditioner,80.04,1,0.19,4.19,,,,,,50,46.0,4.43,0.0,2.36,0.0,0.9,2.55,4.58,0.0
Hard Drive,22.81,0,3.25,3.66,,20.0,,,,48,38.0,4.3,3.42,0.0,3.7,4.96,1.73,3.43,4.32
Washing Machine,22.36,0,3.87,8.45,,,,,,22,41.0,1.52,0.0,0.0,0.0,0.0,0.19,3.58,0.0
Smartwatch,33.41,1,1.9,10.7,31.0,47.0,43.0,46.0,,12,,0.62,0.0,4.14,4.47,0.0,0.0,1.21,0.0
Printer,75.92,0,6.12,13.32,,24.0,,,39.0,11,17.0,0.0,4.88,0.85,1.42,1.28,0.84,0.84,0.0
Fax Machine,73.76,1,6.9,12.35,,,,27.0,30.0,37,41.0,3.32,1.01,3.18,2.44,3.56,0.6,1.85,1.89
Scanner,48.09,0,0.89,7.81,,,,30.0,,25,49.0,1.29,1.86,0.0,2.82,0.0,1.46,2.03,0.73
Refrigerator,87.93,0,2.67,0.46,,,,,,45,46.0,1.98,2.31,0.0,0.0,0.0,0.18,4.78,2.55
Washing Machine,20.68,1,8.86,4.51,,,,,,28,20.0,4.87,0.97,4.69,0.0,0.52,1.95,0.0,0.0
Accessories,37.71,0,6.18,8.76,,,,,,41,23.0,0.0,0.0,2.69,4.95,0.13,3.87,1.38,2.58
Washing Machine,24.78,0,3.04,7.66,,,,,,45,20.0,0.0,0.0,2.27,0.0,3.05,4.12,1.61,0.57
Other,73.43,0,6.81,13.8,,,,,,50,30.0,0.0,2.62,0.0,4.41,0.0,3.46,3.05,0.0
Refrigerator,88.8,1,5.4,4.98,,,,,,32,39.0,2.17,0.0,0.4,2.9,3.59,0.0,3.11,3.32
Game Console,44.68,1,7.68,2.22,27.0,18.0,,12.0,,37,35.0,0.0,2.79,0.0,0.98,3.1,2.24,4.7,2.37
Refrigerator,75.1,0,7.84,5.77,,,,,,25,22.0,1.42,3.63,0.0,0.0,0.0,4.42,0.55,3.84
Server,26.16,1,4.9,8.31,19.0,14.0,,,,28,32.0,0.0,0.0,0.0,0.35,0.0,0.0,0.24,0.95
Monitor,86.64,0,1.18,7.9,,,,27.0,,33,32.0,1.01,1.28,0.22,4.06,0.0,4.84,0.0,0.0
Television,51.31,1,2.4,1.35,,,,27.0,,13,17.0,0.02,0.09,1.59,1.43,3.13,1.55,0.0,0.0
Accessories,73.03,1,4.13,11.09,,,,,,11,35.0,1.52,3.7,0.0,0.0,0.0,1.7,2.31,3.25
Fax Machine,68.27,1,8.27,9.31,,,,29.0,16.0,27,20.0,0.0,3.38,3.34,4.55,3.81,2.4,0.58,2.02
Washing Machine,30.59,0,6.74,6.37,,,,,,41,47.0,4.32,0.0,0.0,3.79,3.21,0.17,4.37,0.0
Desktop,99.29,1,2.67,10.69,13.0,18.0,,,36.0,17,36.0,4.54,0.0,3.38,4.73,0.0,0.82,0.0,0.73
Router,21.11,0,2.59,4.8,27.0,28.0,,,,12,37.0,1.78,1.29,0.0,0.0,4.15,3.11,2.26,0.0
Mobile,65.32,0,5.17,11.06,20.0,40.0,10.0,17.0,,43,11.0,2.52,0.12,2.07,2.91,4.65,4.91,2.11,0.0
Mobile,92.33,1,2.32,5.39,33.0,21.0,36.0,33.0,,36,25.0,4.54,1.58,4.5,0.51,0.0,0.0,0.07,1.38
Desktop,93.33,0,8.6,1.81,26.0,38.0,,,33.0,48,33.0,2.36,0.0,0.0,0.0,0.0,4.69,4.36,3.02
Television,51.54,0,3.91,13.44,,,,30.0,,36,23.0,2.34,4.34,0.0,1.21,2.69,3.03,0.0,1.35
Laptop,74.12,0,6.75,14.64,31.0,35.0,29.0,12.0,46.0,13,49.0,0.34,3.82,0.0,0.0,2.75,3.47,3.78,0.0
Accessories,71.97,0,0.47,0.39,,,,,,21,18.0,0.0,0.88,4.68,0.0,3.96,0.0,0.0,0.0
Washing Machine,90.03,0,9.43,2.87,,,,,,24,17.0,3.06,4.94,0.0,4.74,0.0,0.0,3.86,0.0
Projector,31.67,0,5.31,7.3,,,,42.0,,24,15.0,0.31,0.0,0.0,3.57,0.55,0.0,1.1,0.0
Scanner,78.91,0,7.44,4.04,,,,50.0,,35,31.0,0.0,0.4,1.33,0.0,2.6,3.06,1.02,0.17
Coffee Machine,22.88,0,5.34,4.82,,,,,,35,46.0,2.85,1.41,4.3,0.39,3.45,4.24,1.17,0.0
Projector,77.15,0,9.79,14.83,,,,40.0,,14,29.0,4.18,2.55,2.24,4.66,0.11,0.0,0.0,2.09
Set-top Box,38.59,0,0.72,6.83,22.0,26.0,,,,35,50.0,0.0,0.58,3.5,2.0,4.21,2.64,0.0,3.7
Microwave,80.4,1,4.0,11.14,,,,,,50,22.0,0.0,2.67,0.0,1.69,1.83,0.0,0.0,0.0
Hard Drive,75.25,1,7.11,10.7,,25.0,,,,37,50.0,1.48,0.0,0.0,2.49,1.32,0.0,4.93,0.0
Microwave,23.66,0,5.08,12.19,,,,,,36,19.0,4.99,2.45,1.69,3.56,0.0,0.0,4.99,3.13
Scanner,33.62,0,8.73,8.07,,,,44.0,,16,47.0,1.05,4.79,2.44,2.8,0.0,3.11,1.69,3.12
Modem,85.77,1,6.47,13.77,17.0,49.0,,,,41,20.0,0.9,4.5,0.0,2.19,1.94,0.0,0.0,0.0
Refrigerator,99.09,1,6.6,3.58,,,,,,45,16.0,1.68,4.97,3.13,0.0,0.9,2.95,4.66,2.82
Refrigerator,84.51,0,6.74,7.26,,,,,,14,14.0,0.86,1.34,2.08,0.0,0.0,3.28,0.0,1.34
Tablet,76.91,0,4.67,13.25,46.0,37.0,28.0,19.0,,49,16.0,2.61,3.82,3.77,4.31,0.0,1.06,1.18,0.0
Hard Drive,83.98,1,8.04,6.59,,42.0,,,,47,12.0,4.5,2.71,4.58,1.29,3.86,0.81,1.22,0.0
Washing Machine,51.19,0,4.96,5.68,,,,,,39,24.0,0.0,3.87,1.28,2.32,4.48,0.0,4.34,0.0
Printer,93.89,1,4.67,8.05,,11.0,,,27.0,43,15.0,0.0,2.12,0.24,0.0,4.93,1.09,4.63,4.3
Projector,71.96,0,7.54,11.19,,,,22.0,,43,33.0,0.0,3.22,0.0,0.0,0.0,2.52,2.45,4.61
Monitor,38.18,0,1.78,8.13,,,,27.0,,20,11.0,0.0,4.96,1.73,4.85,0.0,0.0,3.95,2.63
Smartwatch,67.83,0,4.89,8.45,44.0,39.0,34.0,13.0,,36,,1.87,0.0,1.14,4.61,4.02,0.0,3.34,0.0
Fax Machine,81.55,0,2.8,1.84,,,,45.0,11.0,23,15.0,3.72,0.91,0.0,2.18,0.0,0.0,0.0,3.97
Set-top Box,89.3,1,3.73,10.94,16.0,30.0,,,,31,10.0,3.87,3.36,1.9,2.89,0.0,3.64,3.84,0.64
Scanner,59.7,1,3.5,4.14,,,,41.0,,17,13.0,0.78,0.55,0.95,4.14,0.77,0.0,2.5,1.71
Refrigerator,51.21,0,2.24,1.91,,,,,,47,36.0,0.48,2.34,2.1,0.0,0.0,3.59,0.96,4.06
Game Console,44.51,1,1.04,10.45,10.0,26.0,,16.0,,23,19.0,0.0,0.57,0.0,0.0,3.88,0.0,2.86,0.0
Printer,56.11,0,5.38,3.53,,40.0,,,45.0,11,38.0,0.0,4.92,0.08,4.28,0.4,0.0,0.1,0.0
Tablet,42.76,0,9.77,1.55,25.0,34.0,49.0,14.0,,12,38.0,0.0,0.85,3.46,4.76,0.0,1.68,0.0,0.68
Projector,33.67,1,6.14,1.97,,,,19.0,,21,30.0,2.89,0.0,0.83,2.74,3.21,0.0,2.69,3.53
Television,46.46,0,7.74,7.59,,,,44.0,,23,43.0,3.32,3.34,3.88,1.35,1.66,1.49,3.58,0.0
Monitor,51.73,1,7.89,2.09,,,,41.0,,28,32.0,0.0,3.0,2.89,4.31,2.61,3.24,4.47,3.08
Set-top Box,95.19,1,8.67,11.32,31.0,26.0,,,,37,12.0,0.68,2.02,0.58,4.12,1.12,0.0,0.0,2.4
Game Console,42.05,0,5.44,13.24,38.0,38.0,,49.0,,21,17.0,4.33,0.0,2.91,2.11,0.0,1.56,3.11,0.0
Hard Drive,38.83,0,3.03,2.38,,18.0,,,,29,13.0,2.44,2.09,1.9,1.9,0.71,1.58,1.34,0.22
Air Conditioner,70.19,1,1.61,3.23,,,,,,39,10.0,0.0,0.0,0.0,0.2,3.81,0.0,1.33,0.0
UPS,89.4,0,6.36,9.96,,,13.0,,,35,20.0,4.38,3.66,3.02,0.0,0.51,0.0,3.44,0.0
Coffee Machine,23.44,1,0.7,5.41,,,,,,27,25.0,3.13,2.79,3.75,1.04,2.75,4.85,1.75,0.0
Printer,79.26,0,4.93,11.75,,35.0,,,12.0,18,36.0,2.05,0.0,2.25,0.95,4.19,0.0,0.0,0.81
Accessories,78.72,1,6.16,10.02,,,,,,21,42.0,2.25,0.77,0.0,0.0,2.68,4.68,0.0,0.02
Smartwatch,23.42,0,7.98,9.77,19.0,41.0,19.0,31.0,,38,,1.59,3.36,3.57,1.58,0.0,0.0,4.51,0.0
Washing Machine,28.26,0,2.37,0.06,,,,,,34,17.0,2.78,0.0,0.0,0.0,2.45,2.02,4.85,1.03
Game Console,80.51,1,5.07,3.27,48.0,23.0,,22.0,,18,31.0,0.0,3.36,0.0,3.0,4.83,1.49,0.71,1.77
Accessories,60.5,0,5.84,1.22,,,,,,49,18.0,0.0,2.28,0.47,0.0,1.03,0.57,1.16,3.57
Smartwatch,92.68,1,6.77,3.6,22.0,41.0,24.0,26.0,,39,,0.95,4.58,0.93,4.3,0.0,0.3,4.6,0.07
Fax Machine,69.02,0,1.42,10.21,,,,46.0,30.0,50,33.0,0.06,1.99,0.0,0.88,3.09,2.37,2.32,0.0
Laptop,95.44,1,9.0,2.71,28.0,14.0,12.0,40.0,26.0,24,38.0,3.09,1.8,0.0,0.0,3.08,2.85,0.0,0.0
Accessories,55.69,0,4.46,7.3,,,,,,36,21.0,3.06,1.52,0.0,3.98,0.0,0.0,4.11,0.0
Game Console,98.98,1,7.18,2.09,16.0,43.0,,10.0,,47,33.0,1.22,1.19,0.09,0.83,0.0,0.85,0.0,0.05
Server,42.07,1,6.62,10.24,30.0,18.0,,,,11,18.0,0.97,3.27,3.46,0.0,0.0,2.38,0.02,0.0
